PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO PORTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Cartão;;2023-10-19 00:00:00.0;;false;true;;100000.0;;400.0;610.0;80.0;181.0;;false;323156.95;true;SP
Cartão;;2015-09-29 00:00:00.0;;false;true;;18516.29;;390.0;610.0;190.0;181.0;;false;114259.42;false;RJ
Capitalização;;2015-09-09 00:00:00.0;;false;false;;83137.0;;250.0;850.0;;80.0;;false;59036.33690838;true;SP
PortoPar;;2013-02-13 00:00:00.0;;false;true;;29546.94;;290.0;800.0;80.0;85.0;;false;118561.87;true;SP
Cartão;;2017-10-05 00:00:00.0;;false;true;;39455.0;;190.0;800.0;190.0;181.0;;false;95607.60999999999;false;RJ
Cartão;;2014-02-07 00:00:00.0;;false;true;;39710.0;;380.0;600.0;130.0;181.0;;false;50400.0;false;GO
Cartão;;2012-12-06 00:00:00.0;;false;true;;86048.0;;170.0;800.0;80.0;181.0;;false;116836.93;false;SP
Cartão;COMUNICAR;2015-06-05 00:00:00.0;;false;true;;85707.0;;370.0;600.0;151.0;181.0;;false;88208.44;false;RJ
Cartão;;2015-03-05 00:00:00.0;;false;true;;31970.0;;170.0;800.0;170.0;181.0;;false;77902.75;false;PR
Cartão;;2015-08-22 00:00:00.0;;false;true;;21827.0;;270.0;700.0;270.0;181.0;;false;58531.16;false;SP
Cartão;;2016-05-04 00:00:00.0;;false;true;;19393.0;;170.0;800.0;100.0;181.0;;false;130131.25;false;SP
Capitalização;;2023-02-07 00:00:00.0;;false;false;;9321.0;;220.0;850.0;;80.0;;false;156395.16;false;RJ
Cartão;;2013-02-16 00:00:00.0;;false;true;;83756.9;;350.0;610.0;120.0;181.0;;false;73001.61;false;SP
Cartão;;2014-12-12 00:00:00.0;;false;true;;62596.88;;350.0;610.0;101.0;181.0;;false;1192429.8;false;SP
Cartão;;2016-04-07 00:00:00.0;;false;true;;100000.0;;350.0;610.0;150.0;181.0;;false;82764.13;false;MG
Cartão;;2019-03-16 00:00:00.0;;false;true;;95525.0;;151.0;800.0;151.0;181.0;;false;182115.43;false;MG
Cartão;;2014-12-22 00:00:00.0;;false;true;;7947.35;;350.0;600.0;130.0;181.0;;false;334754.78;false;CE
Cartão;;2015-09-29 00:00:00.0;;false;true;;6003.52;;350.0;600.0;130.0;181.0;;false;1105733.64;false;SP
Cartão;;2013-04-10 00:00:00.0;;false;true;;7000.0;;150.0;800.0;120.0;181.0;;false;85140.17;false;AC
Capitalização;;2013-04-25 00:00:00.0;;false;false;;23339.0;;195.0;850.0;;80.0;;false;72064.9833958;false;SP
Cartão;;2016-06-29 00:00:00.0;;false;true;;54266.0;;325.0;610.0;325.0;181.0;;false;75968.81;false;ES
Cartão;;2015-12-28 00:00:00.0;;false;true;;49543.0;;330.0;600.0;101.0;181.0;;false;131404.16;false;RJ
Cartão;;2016-09-30 00:00:00.0;;false;false;;12566.0;;120.0;800.0;;181.0;;false;101175.46;false;CE
Cartão;;2016-01-13 00:00:00.0;;false;true;;21307.72;;320.0;600.0;81.0;181.0;;false;63456.69;false;SP
Automóvel Porto;;2018-06-12 00:00:00.0;;false;true;;88508.0;;220.0;800.0;130.0;80.0;;false;1130804.0;false;RJ
Automóvel Porto;;2016-10-09 00:00:00.0;;false;true;;100000.0;;220.0;800.0;120.0;80.0;;false;1324334.0;false;RJ
Automóvel Porto / Consórcio;;2016-05-10 00:00:00.0;;false;true;;34214.68;;120.0;800.0;100.0;180.0;;false;54309.13833333332;false;SP
Automóvel Porto;;2014-11-27 00:00:00.0;;false;true;;100000.0;;520.0;500.0;130.0;80.0;;false;549165.0;false;RJ
Automóvel Porto;;2017-09-03 00:00:00.0;;false;false;;73796.0;;220.0;800.0;;80.0;;false;1264752.0;false;RJ
