PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Capitalização;NAO_COMUNICAR;2016-03-21 00:00:00.0;;false;false;;4725000.0;;200.0;650.0;;80.0;;false;118028.67;true;BA
Cartão;NAO_COMUNICAR;2015-11-18 00:00:00.0;;false;false;;25289.0;;120.0;600.0;;181.0;;false;63020.16;false;SP
Cartão;NAO_COMUNICAR;2016-06-29 00:00:00.0;;false;false;;21964.0;;120.0;600.0;;181.0;;false;110550.0;false;DF
Automóvel Porto;NAO_COMUNICAR;2013-03-09 00:00:00.0;;false;false;;19231.0;;520.0;300.0;;80.0;;false;279000.0;false;SP
Cartão;COMUNICAR;2015-11-01 00:00:00.0;;false;true;;92005.0;;520.0;1800.0;150.0;181.0;;false;4012136.86;false;SP
Cartão;NAO_COMUNICAR;2013-06-14 00:00:00.0;;false;false;;100000.0;;520.0;1400.0;;181.0;;false;2947670.0;false;DF
Cartão;NAO_COMUNICAR;2015-12-08 00:00:00.0;;false;true;;100000.0;;450.0;1200.0;156.0;181.0;;false;2816325.74;false;SP
Cartão;COMUNICAR;2015-05-11 00:00:00.0;;false;true;;100000.0;;520.0;1000.0;191.0;181.0;;false;396492.8800000001;false;RJ
Locadora;NAO_COMUNICAR;2016-10-09 00:00:00.0;;false;false;;2279.0;;351.0;1200.0;;140.0;;false;798760.0;false;SP
Cartão;NAO_COMUNICAR;2015-11-23 00:00:00.0;;false;true;;100000.0;;450.0;1010.0;51.0;181.0;;false;1425220.42;false;SP
Locadora;NAO_COMUNICAR;2022-07-26 00:00:00.0;;false;false;;1967.0;;280.0;1200.0;;140.0;;false;820000.0;false;SP
Cartão / Locadora;NAO_COMUNICAR;2012-02-15 00:00:00.0;;false;false;;16505.0;;270.0;1200.0;;140.0;;false;738362.0;false;SP
Locadora;NAO_COMUNICAR;2024-05-07 00:00:00.0;;false;false;;1371.0;;230.0;1200.0;;140.0;;false;645416.0;false;SP
Cartão;NAO_COMUNICAR;2015-10-02 00:00:00.0;;false;false;;100000.0;;770.0;600.0;;181.0;;false;72660.99;false;SP
Cartão;NAO_COMUNICAR;2015-02-04 00:00:00.0;;false;false;;100000.0;;250.0;1100.0;;181.0;;false;651705.22;false;MG
Cartão;NAO_COMUNICAR;2024-01-13 00:00:00.0;;false;false;;66084.0;;350.0;1000.0;;181.0;;false;695422.86;false;BA
Locadora;NAO_COMUNICAR;2020-11-25 00:00:00.0;;false;false;;12881.0;;150.0;1200.0;;140.0;;false;1957331.4;false;SP
Locadora;NAO_COMUNICAR;2016-06-17 00:00:00.0;;false;false;;11354.0;;100.0;1200.0;;140.0;;false;669224.0;false;SP
Cartão;COMUNICAR;2022-08-25 00:00:00.0;;false;false;;17585.0;;220.0;1000.0;;181.0;;false;399254.5100000001;false;ES
Cartão;NAO_COMUNICAR;2015-08-15 00:00:00.0;;false;true;;18800.0;;320.0;800.0;100.0;181.0;;false;129700.0;false;SP
Cartão;NAO_COMUNICAR;2012-11-18 00:00:00.0;;false;false;;100000.0;;470.0;600.0;;181.0;;false;739317.32;true;SP
Cartão;NAO_COMUNICAR;2015-06-26 00:00:00.0;;false;true;;100000.0;;420.0;600.0;131.0;181.0;;false;490123.33;false;PI
Cartão;NAO_COMUNICAR;2014-12-22 00:00:00.0;;false;true;;58084.0;;400.0;600.0;130.0;181.0;;false;372822.8800000001;false;CE
Cartão;NAO_COMUNICAR;2020-04-02 00:00:00.0;;false;false;;100000.0;;400.0;600.0;;181.0;;false;631367.51;false;PR
Cartão;NAO_COMUNICAR;2017-06-21 00:00:00.0;;false;true;;3500.0;;180.0;800.0;120.0;181.0;;false;163822.18;false;SP
